id,subject,tag,question,choice1,choice2,choice3,choice4,answer,explanation,core_id,source
1,1,데이터 기본개념,데이터의 '당위적 특성'에 대한 설명으로 옳은 것은?,객관적 사실로서 존재하는 형태의 정보이다.,"추론, 예측, 전망, 추정 등 의사결정을 위한 근거로 기능한다.",가공되지 않은 순수한 수치나 기호이다.,정성적 데이터만을 의미한다.,2,당위적 특성은 데이터가 추론·예측 등 의사결정의 근거로 기능함을 의미한다.,1,concept
2,1,데이터 기본개념,데이터의 '당위적 특성'에 대한 설명으로 옳은 것은?,"추론, 예측, 전망, 추정 등 의사결정을 위한 근거로 기능한다.",가공되지 않은 순수한 수치나 기호이다.,정성적 데이터만을 의미한다.,객관적 사실로서 존재하는 형태의 정보이다.,1,당위적 특성은 데이터가 추론·예측 등 의사결정의 근거로 기능함을 의미한다.,1,concept
3,1,데이터 기본개념,다음 중 데이터의 '당위적 특성'에 대한 설명으로 옳은 것은?,가공되지 않은 순수한 수치나 기호이다.,정성적 데이터만을 의미한다.,객관적 사실로서 존재하는 형태의 정보이다.,"추론, 예측, 전망, 추정 등 의사결정을 위한 근거로 기능한다.",4,당위적 특성은 데이터가 추론·예측 등 의사결정의 근거로 기능함을 의미한다.,1,concept
4,1,데이터 기본개념,보기 중에서 데이터의 '당위적 특성'에 대한 설명으로 옳은 것은?,정성적 데이터만을 의미한다.,가공되지 않은 순수한 수치나 기호이다.,"추론, 예측, 전망, 추정 등 의사결정을 위한 근거로 기능한다.",객관적 사실로서 존재하는 형태의 정보이다.,3,당위적 특성은 데이터가 추론·예측 등 의사결정의 근거로 기능함을 의미한다.,1,concept
5,1,데이터 기본개념,"텍스트, 음성, 이미지처럼 형태와 구조가 정해져 있지 않고 맥락과 주관적 해석에 의존하는 데이터는?",정량적 데이터,정성적 데이터,정형 데이터,메타데이터,2,정성적 데이터는 수치로 직접 표현할 수 없고 맥락에 의존하는 데이터이다.,2,concept
6,1,데이터 기본개념,"텍스트, 음성, 이미지처럼 형태와 구조가 정해져 있지 않고 맥락과 주관적 해석에 의존하는 데이터는?",정성적 데이터,정형 데이터,메타데이터,정량적 데이터,1,정성적 데이터는 수치로 직접 표현할 수 없고 맥락에 의존하는 데이터이다.,2,concept
7,1,데이터 기본개념,"다음 중 텍스트, 음성, 이미지처럼 형태와 구조가 정해져 있지 않고 맥락과 주관적 해석에 의존하는 데이터는?",정형 데이터,메타데이터,정량적 데이터,정성적 데이터,4,정성적 데이터는 수치로 직접 표현할 수 없고 맥락에 의존하는 데이터이다.,2,concept
8,1,데이터 기본개념,"보기 중에서 텍스트, 음성, 이미지처럼 형태와 구조가 정해져 있지 않고 맥락과 주관적 해석에 의존하는 데이터는?",메타데이터,정형 데이터,정성적 데이터,정량적 데이터,3,정성적 데이터는 수치로 직접 표현할 수 없고 맥락에 의존하는 데이터이다.,2,concept
9,1,데이터 기본개념,"숫자·기호·도형으로 표현되어 정밀한 계산이 가능하고, 데이터양이 늘어도 저장·분석이 효율적인 데이터는?",정성적 데이터,정량적 데이터,비정형 데이터,반정형 데이터,2,정량적 데이터는 수치 기반으로 계산과 분석이 용이하다.,3,concept
10,1,데이터 기본개념,"숫자·기호·도형으로 표현되어 정밀한 계산이 가능하고, 데이터양이 늘어도 저장·분석이 효율적인 데이터는?",정량적 데이터,비정형 데이터,반정형 데이터,정성적 데이터,1,정량적 데이터는 수치 기반으로 계산과 분석이 용이하다.,3,concept
